"BinNo","MemberName"
"517048","GARANTİ BANKASI"
"517049","GARANTİ BANKASI"
"520097","GARANTİ BANKASI"
"520922","GARANTİ BANKASI"
"520940","GARANTİ BANKASI"
"520988","GARANTİ BANKASI"
"521368","GARANTİ BANKASI"
"521824","GARANTİ BANKASI"
"521825","GARANTİ BANKASI"
"521832","GARANTİ BANKASI"
"522204","GARANTİ BANKASI"
"524659","GARANTİ BANKASI"
"526955","GARANTİ BANKASI"
"528939","GARANTİ BANKASI"
"528956","GARANTİ BANKASI"
"533169","GARANTİ BANKASI"
"534261","GARANTİ BANKASI"
"535488","GARANTİ BANKASI"
"540036","GARANTİ BANKASI"
"540037","GARANTİ BANKASI"
"540118","GARANTİ BANKASI"
"540226","GARANTİ BANKASI"
"540227","GARANTİ BANKASI"
"540669","GARANTİ BANKASI"
"540709","GARANTİ BANKASI"
"541865","GARANTİ BANKASI"
"542030","GARANTİ BANKASI"
"543738","GARANTİ BANKASI"
"544078","GARANTİ BANKASI"
"545102","GARANTİ BANKASI"
"546001","GARANTİ BANKASI"
"547302","GARANTİ BANKASI"
"548935","GARANTİ BANKASI"
"552095","GARANTİ BANKASI"
"553130","GARANTİ BANKASI"
"554796","GARANTİ BANKASI"
"554960","GARANTİ BANKASI"
"557023","GARANTİ BANKASI"
"557945","GARANTİ BANKASI"
"558699","GARANTİ BANKASI"
"589318","GARANTİ BANKASI"
"622403","GARANTİ BANKASI"
"670606","GARANTİ BANKASI"
"676255","GARANTİ BANKASI"
"676283","GARANTİ BANKASI"
"676651","GARANTİ BANKASI"
"676827","GARANTİ BANKASI"
"979236","GARANTİ BANKASI"
"418342","İŞ BANKASI"
"418343","İŞ BANKASI"
"418344","İŞ BANKASI"
"418345","İŞ BANKASI"
"441075","İŞ BANKASI"
"450803","İŞ BANKASI"
"454318","İŞ BANKASI"
"454358","İŞ BANKASI"
"454359","İŞ BANKASI"
"454360","İŞ BANKASI"
"479610","İŞ BANKASI"
"510152","İŞ BANKASI"
"540667","İŞ BANKASI"
"540668","İŞ BANKASI"
"543771","İŞ BANKASI"
"548237","İŞ BANKASI"
"552096","İŞ BANKASI"
"553058","İŞ BANKASI"
"589283","İŞ BANKASI"
"401622","YAPI KREDİ BANKASI"
"404809","YAPI KREDİ BANKASI"
